waveData1,waveData2,waveData3,waveData4,waveData5,waveData6,waveData7,waveData8,waveData9,waveData10,waveData11,waveData12,waveData13,waveData14,waveData15,waveData16,waveData17
3,0.312325189007878,0.134667441129732,0.12427998817366,0.107757589491736,16.1666666666667,8.08333333333333,2.69444444444444,4.40909090909091,2.30952380952381,0.00585900290851823,0.390813403000153,0.0695011688887103,0.0612244897959184,B08_Colony_7.xlsx,0.0728682059751675,3.29827777777778
4,0.267646199970116,0.190443001176175,0.0796547736460868,0.0619278535655157,13.25,6.625,2.65,1.89285714285714,3.3125,0.0139290075385173,0.0349847178380666,0.0901720180862438,0.0555555555555556,B08_Colony_8.xlsx,0.256289709492113,3.43721626984127
1,0.842409827885213,0.63750116927009,0.408417268237248,0.308473391251578,4.85,8.08333333333333,3.46428571428571,2.85294117647059,2.10869565217391,0.00444602567892333,0.120941761913934,0.0634326717635697,0.0510204081632653,B08_Colony_9.xlsx,0.0267273924931737,1.74914285714286
3,0.819245377136997,0.238976331461343,0.217282356425231,0.216416434984167,16.1666666666667,8.08333333333333,3.73076923076923,4.40909090909091,2.55263157894737,0.00290640784752031,0.157168079809477,0.119198572373323,0.0816326530612245,C08_Colony_11.xlsx,0.0744458257233762,2.36483531746032
1,0.982625389060084,0.556151408811298,0.366020443392767,0.355115457898155,16.1666666666667,8.08333333333333,5.38888888888889,3.03125,3.73076923076923,-0.00274708511300341,-0.121191863655129,0.0982203378525076,0.0612244897959184,C08_Colony_13.xlsx,0.0978165253469652,2.36736507936508
1,0.902914094328036,0.413293105849273,0.199294157493442,0.195925778256841,24.25,12.125,6.92857142857143,4.04166666666667,3.23333333333333,-0.00235332749517091,-0.120581077365515,0.107311748074385,0.0408163265306122,C08_Colony_14.xlsx,-0.968392716529188,2.34301587301587
3,0.325759934345804,0.301825732581119,0.229486655823922,0.156572517894696,16.1666666666667,3.73076923076923,8.08333333333333,4.85,2.425,-0.00179496323180989,0.466886486139302,0.0646913499484253,0.0714285714285714,C08_Colony_17.xlsx,-0.952268019919846,3.08886706349206
3,0.976027272977558,0.465798119072179,0.418834413239177,0.329216868622079,7.875,4.5,2.1,2.42307692307692,3.15,-0.00558966924320975,-0.355699431382667,0.0691505680956541,0.078125,C08_Colony_18.xlsx,-0.0143256012012254,1.56004365079365
3,0.665383295951321,0.282480049881356,0.263499493446778,0.189488816625168,15.75,6.3,2.42307692307692,3.5,2.86363636363636,-0.00178815189380107,-0.0597725781801913,0.0708211285373332,0.0625,C08_Colony_20.xlsx,0.0571170700545143,2.50876461038961
2,0.775208211446886,0.373932588174912,0.234836670545228,0.21119263981784,24.25,6.92857142857143,4.40909090909091,2.30952380952381,3.03125,0.00271560139007518,-0.305780371678366,0.177107680260036,0.0816326530612245,C08_Colony_27.xlsx,0.940423727115351,1.69801785714286
4,0.236776387713345,0.143305839455667,0.0889648915055527,0.058745354282171,12.125,6.0625,2.85294117647059,4.04166666666667,2.20454545454545,-0.0037795444885922,-0.0147445808758551,0.0774772159139116,0.0714285714285714,C08_Colony_7.xlsx,0.916198646184088,3.9144503968254
